Company Name,Ticker,Market Cap (mil),Month of Fiscal Yr End,Sector,Industry,Exchange,Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.
"Agilent Technologies","A","40773.58","10","Computer and Technology","Electronics - Testing Equipment","NYSE","139.75","5.44","202310","5.19","5.77"
"Alcoa","AA","8721.56","12","Industrial Products","Metal Products - Distribution","NYSE","33.76","-2.27","202312",".7","3.01"
"AAC Technologies","AACAY","4393.7","12","Computer and Technology","Electronics - Miscellaneous Components","OTC","3.666",".08","202312",".17",".21"
"AIA","AAGIY","73108.49","12","Finance","Insurance - Life Insurance","OTC","26.45","1.31","202312","2.39","2.6"
"American Airlines","AAL","6757.48","12","Transportation","Transportation - Airline","NSDQ","10.29","2.65","202312",".97","1.66"
"AAON","AAON","7255.54","12","Construction","Building Products - Air Conditioner and Heating","NSDQ","89.56","2.2","202312","2.29","2.79"
"Advance Auto Parts","AAP","3625.63","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","NYSE","60.81",".5","202312","3.62","4.25"
"Apple","AAPL","3443889","9","Computer and Technology","Computer - Micro Computers","NSDQ","226.51","6.13","202309","6.68","7.52"
"AllianceBernstein","AB","3954.72","12","Finance","Financial - Investment Management","NYSE","34.34","2.69","202312","2.97","3.47"
"ABB","ABBNY","103840.92","12","Industrial Products","Manufacturing - Electronics","OTC","55.81","2.02","202312","2.17","2.41"
"AbbVie","ABBV","346468.31","12","Medical","Large Cap Pharmaceuticals","NYSE","196.15","11.11","202312","10.87","12.09"
"Ameris Bancorp","ABCB","3986.55","12","Finance","Banks - Southeast","NYSE","57.72","4","202312","4.72","4.98"
"Ambev","ABEV","37336.58","12","Consumer Staples","Beverages - Alcohol","NYSE","2.37",".19","202312",".18",".18"
"Asbury Automotive Group","ABG","4520.7","12","Retail-Wholesale","Automotive - Retail and Whole Sales","NYSE","226.26","32.6","202312","27.06","29.47"
"ABM Industries","ABM","3404.93","10","Business Services","Building Products - Maintenance Service","NYSE","54.25","3.5","202310","3.46","3.65"
"Airbnb","ABNB","75313.76","12","Computer and Technology","Internet - Content","NSDQ","117.38","7.24","202312","4.43","5.04"
"Abbott Laboratories","ABT","192728.38","12","Medical","Medical - Products","NYSE","110.77","4.44","202312","4.66","5.13"
"Arcosa","ACA","4196.4","12","Construction","Building Products - Miscellaneous","NYSE","86.02","3.23","202312","3.4","4.26"
"Air Canada","ACDVF","4077.61","12","Transportation","Transportation - Airline","OTC","11.3743","3.38","202312","1.83","2.27"
"Agri Bank China","ACGBY","160292.22","12","Finance","Banks - Foreign","OTC","11.45","2.55","202312","",""
"Arch Capital Group","ACGL","38658.75","12","Finance","Insurance - Property and Casualty","NSDQ","102.8","8.45","202312","9","9.23"
"Acadia Healthcare","ACHC","6960.4","12","Medical","Medical - Hospital","NSDQ","74.95","3.44","202312","3.51","3.92"
"Albertsons Companies","ACI","12017.02","2","Consumer Staples","Consumer Products - Staples","NYSE","20.75","2.88","202402","2.41","2.45"
"ACI Worldwide","ACIW","5002.62","12","Computer and Technology","Computer - Software","NSDQ","47.8","1.86","202312","2.26","2.58"
"Axcelis Technologies","ACLS","3664.91","12","Computer and Technology","Electronics - Manufacturing Machinery","NSDQ","112.36","7.43","202312","6.05","7.28"
"Arcellx","ACLX","3541.96","12","Medical","Medical - Biomedical and Genetics","NSDQ","65.89","-1.47","202312","-1.64","-2.05"
"AECOM","ACM","12928.06","9","Construction","Engineering - R and D Services","NYSE","96.43","3.71","202309","4.46","4.94"
"Accenture","ACN","207040.63","8","Computer and Technology","Computers - IT Services","NYSE","330.37","11.67","202308","11.95","12.58"
"Enact Holdings","ACT","5299.97","12","Finance","Insurance - Multi line","NSDQ","34.04","4.18","202312","4.22","4.26"
"ACV Auctions","ACVA","3151.82","12","Retail-Wholesale","Internet - Commerce","NSDQ","18.92","-.1","202312",".05",".44"
"","ACWI","18459.34","12","Finance","Financial - Investment Funds","NSDQ","115.66","","202312","",""
"Adobe","ADBE","249301.64","11","Computer and Technology","Computer - Software","NSDQ","562.25","16.07","202311","18.16","20.51"
"Agree Realty","ADC","7262.07","12","Finance","REIT and Equity Trust - Retail","NYSE","72.17","3.95","202312","4.12","4.26"
"Analog Devices","ADI","110899.51","10","Computer and Technology","Semiconductor - Analog and Mixed","NSDQ","223.49","10.09","202310","6.24","7.98"
"Archer Daniels Midland","ADM","28215.16","12","Consumer Staples","Agriculture - Operations","NYSE","59.01","6.98","202312","5.47","5.33"
"ADMA Biologics","ADMA","4179.17","12","Medical","Medical - Biomedical and Genetics","NSDQ","17.93","0","202312",".49",".63"
"Automatic Data Processing","ADP","107878.15","6","Business Services","Outsourcing","NSDQ","264.54","9.18","202406","10.02","10.86"
"Ahold","ADRNY","31292.33","12","Consumer Staples","Consumer Products - Staples","OTC","33.36","2.75","202312","2.75","2.89"
"Autodesk","ADSK","53905.14","1","Computer and Technology","Computer - Software","NSDQ","250.13","7.6","202401","8.11","9.06"
"ADT","ADT","6720.17","12","Industrial Products","Security and Safety Services","NYSE","7.37",".51","202312",".66",".8"
"Adyen","ADYEY","44597.21","12","Business Services","Financial Transaction Services","OTC","14.36",".24","202312",".31",".39"
"Ameren","AEE","21925.64","12","Utilities","Utility - Electric Power","NYSE","82.22","4.38","202312","4.61","4.89"
"Aegon","AEG","14152.8","12","Finance","Insurance - Multi line","NYSE","6.42","-.12","202312",".91","1"
"Advanced Energy Industries","AEIS","4026.06","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","106.87","4.88","202312","3.35","5.09"
"Agnico Eagle Mines","AEM","41086.84","12","Basic Materials","Mining - Gold","NYSE","82.04","2.23","202312","3.65","3.67"
"American Eagle Outfitters","AEO","4209.5","1","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","21.43","1.52","202401","1.78","1.92"
"American Electric Power","AEP","51956.2","12","Utilities","Utility - Electric Power","NSDQ","97.64","5.25","202312","5.59","5.95"
"Aercap","AER","18583.83","12","Finance","Financial - Leasing Companies","NYSE","93.89","10.73","202312","11.27","11.47"
"AES","AES","12355.86","12","Utilities","Utility - Electric Power","NYSE","17.38","1.76","202312","1.92","2.08"
"Arc Resources","AETUF","10969.31","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","OTC","18.36","1.93","202312","",""
"American Financial Group","AFG","10750.6","12","Finance","Insurance - Property and Casualty","NYSE","128.13","10.56","202312","10.97","11.68"
"Aflac","AFL","58690.76","12","Finance","Insurance - Accident and Health","NYSE","104.8","6.23","202312","6.73","7.05"
"Affirm","AFRM","9054.26","6","Business Services","Business - Services","NSDQ","29.29","-3.34","202406","-1.46","-.95"
"AGCO","AGCO","6625.25","12","Industrial Products","Manufacturing - Farm Equipment","NYSE","88.76","15.55","202312","8","7.73"
"Ageas","AGESY","9167.73","12","Finance","Insurance - Multi line","OTC","48.772","5.62","202312","6.96","8.44"
"","AGG","116423.79","12","Finance","Financial - Investment Funds","NYSE","100.53","","202312","",""
"Alamos Gold","AGI","8356.58","12","Basic Materials","Mining - Gold","NYSE","19.91",".53","202312",".74",".88"
"AGNC Investment","AGNC","7918.54","12","Finance","REIT and Equity Trust","NSDQ","10.12","2.61","202312","2.11","1.96"
"Assured Guaranty","AGO","3993.99","12","Finance","Insurance - Multi line","NYSE","75.88","10.78","202312","6.3","6.75"
"Avangrid","AGR","13893.98","12","Utilities","Utility - Electric Power","NYSE","35.91","2.09","202312","2.24","2.4"
"Agilysys","AGYS","3034.1","3","Computer and Technology","Computer - Integrated Systems","NSDQ","108.82","1.1","202403","1.2","1.57"
"Adecco","AHEXY","5527.76","12","Business Services","Outsourcing","OTC","16.41","1.62","202312","1.51","1.85"
"C3.ai","AI","3069.27","4","Computer and Technology","Computers - IT Services","NYSE","24.59","-.47","202404","-.54","-.23"
"American International Group","AIG","47575.13","12","Finance","Insurance - Multi line","NYSE","73.88","6.79","202312","5.24","6.72"
"Air Liquide","AIQUY","105941.38","12","Basic Materials","Chemical - Diversified ","OTC","36.65","1.28","202312","1.33","1.47"
"Air China","AIRYY","7716.08","12","Transportation","Transportation - Airline","OTC","9.3","-.19","202312",".73","1.06"
"Applied Industrial Technologies","AIT","7651.03","6","Industrial Products","Manufacturing - General Industrial ","NYSE","199.46","9.75","202406","9.9","10.61"
"Assurant","AIZ","9829.84","12","Finance","Insurance - Multi line","NYSE","189.79","15.49","202312","16.58","17.19"
"Arthur J. Gallagher & Co.","AJG","63155.58","12","Finance","Insurance - Brokerage","NYSE","288.25","8.76","202312","10.15","11.38"
"Ajinomoto","AJINY","18724.13","3","Consumer Staples","Food - Miscellaneous","OTC","36.306","1.16","202403","",""
"Akamai Technologies","AKAM","15410.17","12","Computer and Technology","Internet - Services","NSDQ","101.7","6.2","202312","6.41","6.87"
"AkzoNobel","AKZOY","10256.8","12","Basic Materials","Chemical - Diversified ","OTC","20","1.1","202312","1.49","1.65"
"Air Lease","AL","4976.32","12","Transportation","Transportation - Equipment and Leasing","NYSE","44.68","5.14","202312","6.55","7.85"
"Astera Labs, Inc.","ALAB","6134.68","12","Computer and Technology","Electronics - Semiconductors","NSDQ","39.16","","202312",".58",".83"
"Albemarle","ALB","9898.65","12","Basic Materials","Chemical - Diversified ","NYSE","84.22","22.25","202312",".98","3.37"
"Alcon","ALC","47598.09","12","Medical","Medical - Instruments","NYSE","96.5","2.74","202312","3.05","3.49"
"Allete","ALE","3655.27","12","Utilities","Utility - Electric Power","NYSE","63.29","4.3","202312","",""
"Alfa Laval","ALFVY","18471.55","12","Construction","Engineering - R and D Services","OTC","44.69","1.44","202312","1.76","1.88"
"Allegro MicroSystems","ALGM","4857.71","3","Computer and Technology","Electronics - Semiconductors","NSDQ","25.05","1.35","202403",".37",""
"Align Technology","ALGN","17421.6","12","Medical","Medical - Dental Supplies","NSDQ","233.23","8.61","202312","9.39","10.51"
"Alight","ALIT","3786.44","12","Computer and Technology","Internet - Software","NYSE","6.93",".71","202312",".59",".65"
"Allianz","ALIZY","117586.2","12","Finance","Insurance - Multi line","OTC","30.018","2.44","202312","2.73","3.02"
"Alaska Air Group","ALK","4411.79","12","Transportation","Transportation - Airline","NYSE","34.97","4.53","202312","4.07","5.89"
"Alkermes","ALKS","4637.06","12","Medical","Medical - Biomedical and Genetics","NSDQ","28.16","2.34","202312","2.76","2.62"
"Alkami Technology","ALKT","3094.28","12","Computer and Technology","Internet - Software","NSDQ","31.26","-.04","202312",".24",".53"
"Allstate","ALL","47635.56","12","Finance","Insurance - Property and Casualty","NYSE","180.41",".95","202312","15.14","17.81"
"Allegion","ALLE","11519.21","12","Industrial Products","Security and Safety Services","NYSE","132.21","6.96","202312","7.26","7.55"
"Ally Financial","ALLY","12779.37","12","Finance","Financial - Consumer Loans","NYSE","42.04","3.05","202312","3.51","5.73"
"Alnylam Pharmaceuticals","ALNY","36044.11","12","Medical","Medical - Biomedical and Genetics","NSDQ","280.76","-3.52","202312","-.77","-.16"
"Astellas Pharma","ALPMY","21118.77","3","Medical","Medical - Drugs","OTC","11.67",".58","202403",".54",".8"
"Alstom","ALSMY","8953.29","3","Transportation","Transportation - Rail","OTC","1.94",".01","202403",".14",".17"
"Allison Transmission Holdings","ALSN","7502.57","12","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","86.1","7.4","202312","7.89","8.88"
"Altair Engineering","ALTR","7286.63","12","Construction","Engineering - R and D Services","NSDQ","85.84","1.13","202312","1.24","1.38"
"Autoliv","ALV","8063.23","12","Auto-Tires-Trucks","Automotive - Original Equipment","NYSE","100.69","8.19","202312","9.05","10.88"
"Antero Midstream","AM","6987.91","12","Oils-Energy","Oil and Gas - Integrated - United States","NYSE","14.52",".77","202312",".86","1.05"
"Applied Materials","AMAT","170695.3","10","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","NSDQ","206.16","8.05","202310","8.47","9.6"
"Ambu A/S Unsponsored ADR","AMBBY","5122.44","9","Medical","Medical - Hospital","OTC","21.8",".09","202309","",""
"Amcor","AMCR","15595.25","6","Industrial Products","Containers - Paper and Packaging","NYSE","10.79",".7","202406",".75",".77"
"Advanced Micro Devices","AMD","253130.55","12","Computer and Technology","Electronics - Semiconductors","NSDQ","156.4","2.65","202312","3.35","5.17"
"Amada","AMDLY","3329.28","3","Industrial Products","Manufacturing - Tools & Related Products","OTC","39.04","3.3","202403","",""
"AMETEK","AME","38171.02","12","Computer and Technology","Electronics - Testing Equipment","NYSE","164.86","6.38","202312","6.77","7.29"
"Amedisys","AMED","3205.3","12","Medical","Medical - Outpatient and Home Healthcare","NSDQ","97.9","4.3","202312","4.66","5.04"
"Affiliated Managers Group","AMG","5074.04","12","Finance","Financial - Investment Management","NYSE","170.19","19.48","202312","21.94","25"
"Amgen","AMGN","176539.52","12","Medical","Medical - Biomedical and Genetics","NSDQ","328.55","18.65","202312","19.5","20.54"
"American Homes 4 Rent","AMH","14157.86","12","Finance","REIT and Equity Trust - Residential","NYSE","38.63","1.66","202312","1.76","1.86"
"Amkor Technology","AMKR","7983.01","12","Computer and Technology","Electronics - Semiconductors","NSDQ","32.4","1.46","202312","1.53","2.29"
"Ameriprise Financial","AMP","42616.83","12","Finance","Financial - Investment Management","NYSE","434.03","30.46","202312","34.81","38.31"
"Alpha Metallurgical Resources","AMR","3000.06","12","Basic Materials","Mining - Miscellaneous","NYSE","230.49","49.3","202312","26.33","36.59"
"American Tower","AMT","102935.46","12","Finance","REIT and Equity Trust - Other","NYSE","220.38","9.87","202312","10.45","10.72"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","53062","12","Computer and Technology","Wireless Non-US ","NYSE","17.2","1.37","202312","1.37","1.8"
"Amazon.com","AMZN","1877447","12","Retail-Wholesale","Internet - Commerce","NSDQ","178.88","2.9","202312","4.72","5.83"
"AutoNation","AN","6891.48","12","Retail-Wholesale","Automotive - Retail and Whole Sales","NYSE","173.68","23","202312","17.7","19.66"
"Arista Networks","ANET","111144.14","12","Computer and Technology","Communication - Components","NYSE","353.79","6.94","202312","8.24","9.24"
"Abercrombie & Fitch","ANF","8486.04","1","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","166.05","6.28","202401","9.49","9.68"
"Anta Sports Products","ANPDF","24077.3","12","Consumer Discretionary","Shoes and Retail Apparel ","OTC","8.5",".41","202312",".65",".69"
"ANSYS","ANSS","28489.79","12","Computer and Technology","Computer - Software","NSDQ","326.02","8.8","202312","9.72","10.69"
"Aon","AON","73151.95","12","Finance","Insurance - Brokerage","NYSE","336.73","14.14","202312","15.25","17.42"
"A. O. Smith","AOS","11784.3","12","Industrial Products","Manufacturing - Electronics","NYSE","80.8","3.81","202312","4.07","4.37"
"APA","APA","10479.4","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NSDQ","28.33","4.53","202312","4.39","5.02"
"Artisan Partners Asset Management","APAM","3247.02","12","Finance","Financial - Investment Management","NYSE","40.4","2.89","202312","3.36","3.52"
"Air Products and Chemicals","APD","60785.23","9","Basic Materials","Chemical - Diversified ","NYSE","273.42","11.51","202309","12.32","13.37"
"APi Group","APG","9515.46","12","Business Services","Business - Services","NYSE","34.64","1.58","202312","1.87","2.13"
"Amphenol","APH","80711.43","12","Computer and Technology","Electronics - Connectors","NYSE","67.02","1.5","202312","1.76","2.02"
"Apple Hospitality REIT","APLE","3414.66","12","Finance","REIT and Equity Trust - Other","NYSE","14.09","1.6","202312","1.61","1.65"
"Apellis Pharmaceuticals","APLS","4742.8","12","Medical","Medical - Biomedical and Genetics","NSDQ","38.95","-4.45","202312","-1.27",".22"
"Apollo Global Management","APO","62563.34","12","Finance","Financial - Investment Management","NYSE","109.85","6.74","202312","7.33","8.9"
"AppLovin","APP","28939.24","12","Business Services","Technology Services","NSDQ","86.58",".98","202312","3.48","4.18"
"AppFolio","APPF","7990.12","12","Computer and Technology","Internet - Software","NSDQ","220.28","1.71","202312","4.2","5.48"
"Aptiv","APTV","18563.34","12","Business Services","Technology Services","NYSE","69.85","4.86","202312","6.28","7.92"
"Algonquin Power & Utilities","AQN","4026.7","12","Utilities","Utility - Electric Power","NYSE","5.25",".53","202312",".46",".45"
"Antero Resources","AR","8813.94","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","28.34",".51","202312",".59","3.07"
"Arcadis","ARCAY","6330.95","12","Construction","Engineering - R and D Services","OTC","70","2.72","202312","3.42","4.24"
"Ares Capital","ARCC","13099.43","12","Finance","Financial - SBIC & Commercial Industry","NSDQ","20.78","2.37","202312","2.38","2.24"
"Alexandria Real Estate Equities","ARE","20083.26","12","Finance","REIT and Equity Trust - Other","NYSE","114.81","8.97","202312","9.47","9.69"
"Ares Management","ARES","45293.3","12","Finance","Financial - Investment Management","NYSE","144.71","3.65","202312","4.15","5.8"
"Argenx","ARGX","31332.65","12","Medical","Medical - Biomedical and Genetics","NSDQ","523.99","-5.16","202312","-.48","4.99"
"Arkema","ARKAY","6655.91","12","Basic Materials","Chemical - Diversified ","OTC","88.694","9.47","202312","8.87","10.19"
"ARM Holdings PLC Sponsored ADR","ARM","136166.19","3","Business Services","Technology Services","NSDQ","129.95","1.27","202403","1.56","2.07"
"Aramark","ARMK","9360.33","9","Consumer Staples","Food - Miscellaneous","NYSE","35.53","1.7","202309","1.57","1.94"
"Archrock","AROC","3248.7","12","Oils-Energy","Oil and Gas - Field Services","NYSE","19.23",".69","202312","1.02","1.21"
"Arrow Electronics","ARW","6828.74","12","Computer and Technology","Electronics - Parts Distribution","NYSE","128.98","17.12","202312","10.74","14.63"
"Amer Sports, Inc.","AS","6886.55","12","Consumer Discretionary","Leisure and Recreation Products","NYSE","13.63","-.35","202312",".39",".66"
"Asana","ASAN","3097.66","1","Computer and Technology","Internet - Software","NYSE","13.58","-.2","202401","-.2","-.01"
"Associated BancCorp","ASB","3208.15","12","Finance","Banks - Midwest","NYSE","21.26","2.27","202312","2.07","2.32"
"Associated British Foods","ASBFY","23889.21","9","Consumer Staples","Food - Miscellaneous","OTC","32.09","1.8","202309","2.41","2.54"
"ASICS Corporation Unsponsored ADR","ASCCY","12933.98","12","Consumer Discretionary","Leisure and Recreation Products","OTC","17.03",".34","202312","",""
